CustomerID,CustomerName,Email,JoinDate,Day,Year,Month
1,Garrett Grimes,kyleduran@hotmail.com,24-03-2023,Friday,2023,March
2,Sophia Meyer,christianwright@hotmail.com,03-12-2022,Saturday,2022,December
3,Nancy Donovan,gallegoschelsea@yahoo.com,20-04-2023,Thursday,2023,April
4,Angelica Hernandez,jessica98@hotmail.com,24-08-2022,Wednesday,2022,August
5,Brandy Stewart,john98@yahoo.com,22-03-2024,Friday,2024,March
6,Carla Beasley,haneycody@hotmail.com,13-05-2023,Saturday,2023,May
7,Shannon Camacho,ljenkins@hoffman.info,19-07-2022,Tuesday,2022,July
8,Karen Monroe,mcallahan@pena.biz,27-05-2025,Tuesday,2025,May
9,Matthew Lawrence,walkeranthony@gmail.com,14-03-2023,Tuesday,2023,March
10,Andrew Allen,danielwise@evans-reed.com,15-08-2024,Thursday,2024,August
11,Jessica Cook,millermaria@gmail.com,28-08-2022,Sunday,2022,August
12,Carl Kim,raygordon@johnson.net,30-08-2024,Friday,2024,August
13,Emily Flores,bryanlowe@hotmail.com,05-10-2023,Thursday,2023,October
14,Jacob King,david82@yahoo.com,03-04-2024,Wednesday,2024,April
15,Katie Howard,lucerojohn@hansen.com,29-09-2024,Sunday,2024,September
16,Jason Butler,jholmes@yahoo.com,31-10-2023,Tuesday,2023,October
17,Michael Franklin,valdezbrian@young.com,08-04-2023,Saturday,2023,April
18,Bradley Russell,richardestrada@jennings.biz,19-07-2024,Friday,2024,July
19,Tracey Beard,janicerogers@webb.com,01-02-2024,Thursday,2024,February
20,Mary Berry,lmiller@ramirez.net,11-07-2023,Tuesday,2023,July
21,Jasmine Bradley,lauriealexander@aguirre.com,14-07-2022,Thursday,2022,July
22,Seth Jacobs,camposnancy@stevenson-higgins.com,07-01-2023,Saturday,2023,January
23,Melanie Mckee,michelle90@torres.com,13-04-2024,Saturday,2024,April
24,Nicole Sanchez,stefanieclay@jones.com,27-10-2022,Thursday,2022,October
25,Joseph Ward,wrightdavid@hotmail.com,04-10-2022,Tuesday,2022,October
26,Jordan Meyer,dleon@yahoo.com,01-10-2024,Tuesday,2024,October
27,Michael Williams,crystaldiaz@hoffman.com,25-10-2024,Friday,2024,October
28,Susan Horn,kristina06@adams.com,14-01-2025,Tuesday,2025,January
29,Fernando Wells PhD,nelsondanielle@simon-carlson.com,29-01-2023,Sunday,2023,January
30,Amy Hanson,loverobert@peters.net,03-07-2024,Wednesday,2024,July
31,Gregory Collins,htorres@yahoo.com,23-03-2024,Saturday,2024,March
32,Jason Andersen,cynthiawilson@gonzales-james.com,21-07-2023,Friday,2023,July
33,Samantha Wright,codystrong@evans.org,27-03-2023,Monday,2023,March
34,Dalton Davis,pdiaz@gmail.com,03-09-2024,Tuesday,2024,September
35,Cory Summers,brandon51@garcia.com,16-04-2025,Wednesday,2025,April
36,Robert Thomas,tiffany26@ortiz.info,16-03-2024,Saturday,2024,March
37,Aaron Gillespie,vaughnnicole@lee-carr.info,12-02-2025,Wednesday,2025,February
38,Mike Leonard,amandabennett@hotmail.com,01-03-2025,Saturday,2025,March
39,Sandra Morrison,johnlittle@hotmail.com,30-04-2024,Tuesday,2024,April
40,Matthew Spears,richardsoncarol@collier.com,29-11-2024,Friday,2024,November
41,Leon Schneider,billy81@hotmail.com,03-10-2022,Monday,2022,October
42,Johnny Lane,jonathan07@yahoo.com,23-02-2025,Sunday,2025,February
43,Sheila Gilbert,pamela37@sanchez.info,08-12-2024,Sunday,2024,December
44,Cynthia Chapman,davidpatrick@pope.info,03-01-2024,Wednesday,2024,January
45,Paul Bishop,gonzalezlisa@wise.com,03-03-2023,Friday,2023,March
46,Melanie Kane,amandalozano@hotmail.com,17-11-2023,Friday,2023,November
47,Mrs. Lori Martinez,pollarddana@hotmail.com,08-05-2025,Thursday,2025,May
48,Laura Foley,josephcasey@hotmail.com,03-12-2023,Sunday,2023,December
49,Christopher Davis,april60@mercado.com,24-07-2022,Sunday,2022,July
50,Rebecca Brown,markli@gmail.com,07-12-2022,Wednesday,2022,December
51,Roy Brock,jenniferpitts@rice-perez.net,27-11-2022,Sunday,2022,November
52,William Kennedy,davissteven@fletcher.info,10-04-2025,Thursday,2025,April
53,Steven Fuller,kelly21@peterson.org,12-05-2024,Sunday,2024,May
54,Calvin Lawrence,athompson@dixon.com,15-08-2023,Tuesday,2023,August
55,Matthew Williams,phamnicole@yahoo.com,21-12-2023,Thursday,2023,December
